データ日付,終値,始値,高値,安値,終値(配当込JPX日経400),終値(税引後配当込JPX日経400)
"2021/11/29","17616.21","17652.54","17875.93","17580.52","21134.36","20564.95"
"2021/11/30","17400.98","17797.88","17867.63","17400.98","20881.36","20318.00"
"2021/12/01","17477.83","17427.29","17555.50","17282.76","20973.58","20407.73"
"2021/12/02","17410.49","17378.53","17520.76","17350.80","20892.77","20329.10"
"2021/12/03","17668.70","17477.14","17668.70","17396.16","21202.62","20630.59"
"2021/12/06","17582.35","17698.59","17718.03","17523.68","21099.01","20529.77"
"2021/12/07","17940.64","17709.35","17996.42","17613.24","21528.96","20948.12"
"2021/12/08","18074.85","18095.33","18126.70","17994.30","21690.01","21104.83"
"2021/12/09","17970.40","18060.60","18098.99","17970.40","21564.67","20982.87"
"2021/12/10","17836.08","17925.63","17995.89","17816.43","21403.48","20826.03"
"2021/12/13","17877.14","17992.60","18016.61","17866.94","21452.75","20873.97"
"2021/12/14","17838.24","17866.27","17944.22","17774.71","21406.07","20828.55"
"2021/12/15","17909.94","17804.33","17951.55","17804.33","21492.11","20912.27"
"2021/12/16","18193.79","18124.86","18204.33","18062.36","21832.74","21243.71"
"2021/12/17","17934.90","18112.89","18163.04","17895.24","21522.07","20941.42"
"2021/12/20","17558.06","17782.83","17815.88","17544.14","21069.85","20501.40"
"2021/12/21","17826.40","17772.20","17885.84","17708.51","21391.86","20814.73"
"2021/12/22","17830.83","17879.74","17908.69","17782.77","21397.19","20819.90"
"2021/12/23","17987.13","17916.53","17987.13","17884.49","21584.74","21002.40"
"2021/12/24","17962.03","18018.71","18044.05","17948.73","21554.63","20973.10"
"2021/12/27","17875.93","17963.01","17976.98","17869.07","21451.31","20872.56"
"2021/12/28","18127.10","18036.89","18131.99","18001.57","21752.71","21165.83"
"2021/12/29","18048.25","18089.88","18153.82","17984.85","21686.86","21097.47"
"2021/12/30","17990.97","17985.12","18071.02","17881.31","21618.03","21030.51"
"2022/01/04","18334.06","18197.31","18345.40","18102.07","22030.29","21431.57"
"2022/01/05","18398.74","18397.13","18425.37","18339.67","22108.01","21507.18"
"2022/01/06","18027.45","18317.44","18336.47","18027.45","21661.86","21073.15"
"2022/01/07","18006.14","18144.44","18197.58","17882.73","21636.26","21048.25"
"2022/01/11","17919.90","17993.12","18010.96","17791.11","21532.63","20947.43"
"2022/01/12","18204.66","18023.10","18221.12","18010.31","21874.80","21280.30"
"2022/01/13","18069.22","18149.71","18151.41","18058.16","21712.05","21121.98"
"2022/01/14","17810.82","17950.27","17958.26","17669.42","21401.57","20819.93"
"2022/01/17","17904.91","17910.81","18020.35","17874.32","21514.62","20929.91"
"2022/01/18","17831.75","17981.20","18059.99","17755.12","21426.71","20844.39"
"2022/01/19","17332.53","17620.31","17660.06","17268.06","20826.85","20260.83"
"2022/01/20","17486.32","17301.97","17550.24","17206.90","21011.64","20440.61"
"2022/01/21","17377.93","17300.06","17415.59","17147.04","20881.40","20313.90"
"2022/01/24","17402.38","17238.43","17432.57","17167.25","20910.78","20342.49"
"2022/01/25","17107.85","17306.77","17312.99","16973.36","20556.87","19998.19"
"2022/01/26","17062.68","17136.48","17182.93","17001.46","20502.60","19945.39"
"2022/01/27","16631.38","17175.38","17213.20","16565.93","19984.35","19441.23"
"2022/01/28","16928.10","16807.96","16961.19","16712.73","20342.59","19789.48"
"2022/01/31","17087.09","16897.15","17134.14","16798.85","20533.68","19975.37"
"2022/02/01","17082.29","17185.33","17303.15","17052.03","20527.91","19969.76"
"2022/02/02","17419.70","17200.47","17432.69","17188.38","20933.38","20364.20"
"2022/02/03","17281.40","17323.94","17361.51","17260.67","20767.18","20202.52"
"2022/02/04","17377.80","17256.89","17396.82","17180.61","20883.03","20315.22"
"2022/02/07","17333.94","17328.62","17357.08","17202.81","20830.32","20263.95"
"2022/02/08","17393.70","17385.63","17480.13","17381.18","20902.14","20333.81"
"2022/02/09","17553.33","17493.53","17599.60","17461.38","21093.96","20520.42"
"2022/02/10","17664.01","17659.68","17727.38","17554.29","21226.97","20649.81"
"2022/02/14","17377.89","17448.78","17471.87","17228.50","20883.14","20315.33"
"2022/02/15","17230.36","17401.70","17412.25","17156.30","20705.85","20142.86"
"2022/02/16","17534.84","17474.27","17552.01","17444.82","21071.75","20498.81"
"2022/02/17","17405.13","17518.89","17527.19","17307.50","20916.17","20347.41"
"2022/02/18","17336.71","17211.19","17381.00","17164.10","20833.95","20267.43"
"2022/02/21","17220.34","17127.02","17261.07","17014.53","20694.10","20131.38"
"2022/02/22","16959.38","16971.79","17044.57","16851.65","20380.50","19826.31"
"2022/02/24","16746.19","16860.64","16941.87","16620.27","20124.30","19577.08"
"2022/02/25","16908.73","16816.67","16932.69","16777.74","20324.50","19771.11"
"2022/02/28","16973.17","16905.57","17013.35","16827.42","20404.36","19848.44"
"2022/03/01","17078.81","17139.90","17207.82","17071.37","20531.35","19971.97"
"2022/03/02","16753.33","16885.52","16897.59","16735.06","20140.07","19591.35"
"2022/03/03","16964.19","16936.13","17022.17","16909.27","20393.56","19837.93"
"2022/03/04","16629.84","16883.65","16888.90","16546.76","19991.63","19446.95"
"2022/03/07","16184.83","16428.90","16434.33","16056.94","19456.66","18926.55"
"2022/03/08","15884.67","16039.66","16167.76","15857.86","19095.82","18575.54"
"2022/03/09","15864.64","15923.93","16075.92","15831.80","19071.73","18552.12"
"2022/03/10","16488.17","16101.64","16498.34","16097.85","19821.32","19281.28"
"2022/03/11","16213.98","16331.66","16360.64","16110.92","19491.69","18960.64"
"2022/03/14","16310.52","16326.32","16450.73","16310.03","19607.75","19073.53"
"2022/03/15","16426.88","16307.22","16499.24","16300.40","19747.64","19209.61"
"2022/03/16","16668.47","16561.70","16716.39","16543.96","20038.07","19492.12"
"2022/03/17","17107.73","16911.66","17137.32","16904.34","20566.66","20006.24"
"2022/03/18","17213.33","17102.59","17238.24","17102.15","20693.61","20129.72"
"2022/03/22","17468.09","17345.47","17499.95","17342.32","20999.87","20427.64"
"2022/03/23","17876.11","17674.85","17896.87","17667.98","21490.39","20904.79"
"2022/03/24","17880.03","17678.79","17880.03","17620.06","21495.10","20909.38"
"2022/03/25","17893.73","17990.32","18007.45","17809.44","21511.57","20925.40"
"2022/03/28","17813.95","17896.20","17896.26","17716.69","21415.66","20832.10"
"2022/03/29","17984.36","17930.54","17984.36","17870.18","21620.52","21031.38"
"2022/03/30","17751.80","17890.24","17910.77","17595.58","21576.70","20953.30"
"2022/03/31","17557.08","17628.42","17771.31","17557.08","21340.09","20723.52"
"2022/04/01","17531.12","17432.01","17569.86","17331.93","21308.54","20692.88"
"2022/04/04","17619.58","17556.90","17621.50","17507.46","21416.06","20797.30"
"2022/04/05","17546.77","17738.98","17742.38","17483.90","21327.56","20711.35"
"2022/04/06","17312.04","17421.96","17433.90","17278.84","21042.25","20434.29"
"2022/04/07","17047.14","17107.33","17114.06","16944.88","20720.28","20121.61"
"2022/04/08","17098.66","17161.26","17184.44","16980.62","20782.89","20182.42"
"2022/04/11","17047.07","17069.12","17107.98","16973.42","20720.19","20121.53"
"2022/04/12","16801.37","16962.25","16988.98","16778.21","20421.55","19831.52"
"2022/04/13","17045.39","16854.24","17071.60","16838.43","20718.15","20119.55"
"2022/04/14","17203.97","17094.22","17211.44","17072.49","20910.90","20306.73"
"2022/04/15","17094.49","17047.05","17159.23","16956.20","20777.83","20177.51"
"2022/04/18","16941.54","16948.87","16986.66","16790.37","20591.92","19996.97"
"2022/04/19","17078.23","17112.57","17124.18","16969.61","20758.07","20158.32"
"2022/04/20","17249.39","17221.79","17351.04","17160.39","20966.11","20360.34"
"2022/04/21","17391.88","17263.02","17408.54","17246.91","21139.30","20528.53"
"2022/04/22","17191.57","17219.19","17233.23","17079.44","20895.83","20292.10"
"2022/04/25","16943.91","16920.51","17001.35","16845.94","20594.81","19999.77"
"2022/04/26","16952.10","16985.60","17018.17","16904.10","20604.76","20009.44"
"2022/04/27","16781.64","16727.05","16788.65","16617.98","20397.88","19808.49"
"2022/04/28","17122.20","16814.15","17138.61","16787.18","20812.33","20210.89"
"2022/05/02","17106.32","17117.49","17224.87","17001.73","20793.03","20192.14"
"2022/05/06","17262.58","17146.27","17298.87","17031.02","20982.96","20376.59"
"2022/05/09","16914.91","17117.25","17147.66","16911.27","20560.37","19966.20"
"2022/05/10","16774.81","16771.18","16818.92","16577.23","20390.07","19800.83"
"2022/05/11","16677.93","16683.20","16742.23","16604.63","20272.31","19686.47"
"2022/05/12","16489.03","16556.96","16652.28","16466.38","20042.90","19463.66"
"2022/05/13","16794.16","16567.76","16831.73","16560.05","20413.80","19823.84"
"2022/05/16","16796.28","16969.08","16976.52","16757.42","20416.38","19826.34"
"2022/05/17","16833.82","16827.62","16880.68","16770.76","20462.00","19870.65"
"2022/05/18","17005.67","16945.72","17063.86","16915.04","20670.89","20073.50"
"2022/05/19","16761.45","16703.90","16787.89","16601.56","20374.05","19785.24"
"2022/05/20","16918.57","16782.76","16933.69","16762.34","20565.04","19970.70"
"2022/05/23","17089.36","17062.29","17115.55","17015.04","20772.64","20172.31"
"2022/05/24","16954.01","17103.65","17117.23","16953.82","20608.12","20012.54"
"2022/05/25","16964.28","16941.00","17023.17","16862.95","20620.59","20024.65"
"2022/05/26","16942.12","16974.90","17085.67","16942.12","20593.66","19998.50"
"2022/05/27","17015.58","17122.91","17130.31","16993.25","20682.95","20085.22"
"2022/05/30","17334.91","17181.79","17371.52","17159.71","21071.78","20462.71"
"2022/05/31","17245.93","17286.59","17373.33","17231.20","20980.72","20371.73"
"2022/06/01","17459.72","17284.92","17466.04","17284.92","21240.81","20624.28"
"2022/06/02","17347.08","17387.95","17407.58","17266.24","21103.78","20491.21"
"2022/06/03","17418.91","17455.99","17487.17","17342.26","21191.16","20576.06"
"2022/06/06","17467.93","17299.50","17489.24","17292.43","21250.80","20633.97"
"2022/06/07","17533.45","17529.94","17610.70","17502.68","21330.50","20711.36"
"2022/06/08","17744.44","17607.47","17744.44","17606.03","21587.19","20960.59"
"2022/06/09","17739.85","17703.09","17825.46","17700.45","21581.61","20955.18"
"2022/06/10","17500.44","17574.61","17624.09","17484.64","21290.34","20672.37"
"2022/06/13","17115.71","17233.86","17256.55","17067.86","20822.31","20217.92"
"2022/06/14","16910.04","16872.06","16929.71","16796.76","20572.09","19974.96"
"2022/06/15","16703.50","16874.76","16893.03","16703.50","20320.83","19730.99"
"2022/06/16","16799.76","16897.14","17035.15","16784.02","20437.93","19844.70"
"2022/06/17","16508.15","16531.04","16572.38","16359.80","20083.17","19500.23"
"2022/06/20","16338.39","16586.05","16590.15","16241.06","19876.64","19299.70"
"2022/06/21","16665.76","16531.28","16732.33","16471.36","20274.91","19686.41"
"2022/06/22","16632.82","16798.74","16804.76","16632.82","20234.84","19647.50"
"2022/06/23","16630.01","16609.19","16773.01","16579.42","20231.42","19644.18"
"2022/06/24","16785.71","16630.60","16787.86","16587.07","20420.83","19828.10"
"2022/06/27","16982.58","16936.76","17003.06","16886.70","20660.35","20060.66"
"2022/06/28","17152.84","16961.44","17152.84","16959.29","20867.47","20261.77"
"2022/06/29","17020.11","17028.63","17077.30","16985.73","20734.88","20128.73"
"2022/06/30","16811.46","16954.14","16994.02","16778.42","20480.70","19881.98"
"2022/07/01","16575.45","16859.91","16909.75","16502.74","20193.18","19602.86"
"2022/07/04","16804.04","16696.20","16812.74","16672.97","20471.67","19873.21"
"2022/07/05","16898.26","16924.29","16963.45","16832.88","20586.45","19984.63"
"2022/07/06","16707.44","16773.14","16806.18","16660.22","20353.97","19758.95"
"2022/07/07","16957.49","16823.47","16975.61","16728.65","20658.60","20054.68"
"2022/07/08","17003.75","17022.51","17179.81","16967.08","20714.95","20109.38"
"2022/07/11","17236.20","17234.51","17338.74","17142.16","20998.14","20384.29"
"2022/07/12","16961.26","17177.46","17187.32","16923.01","20663.20","20059.14"
"2022/07/13","16999.73","16992.81","17044.09","16964.07","20710.06","20104.63"
"2022/07/14","17038.44","16891.26","17068.75","16869.85","20757.22","20150.41"
"2022/07/15","17033.62","17071.60","17117.47","16915.68","20751.35","20144.71"
"2022/07/19","17114.49","17154.60","17161.73","17016.58","20849.87","20240.35"
"2022/07/20","17524.40","17333.54","17524.40","17331.61","21349.24","20725.12"
"2022/07/21","17558.10","17453.56","17562.02","17416.79","21390.31","20764.99"
"2022/07/22","17606.03","17510.67","17628.69","17490.15","21448.69","20821.67"
"2022/07/25","17486.31","17501.72","17585.12","17461.52","21302.84","20680.08"
"2022/07/26","17477.74","17488.17","17517.31","17436.64","21292.40","20669.95"
"2022/07/27","17513.49","17439.50","17549.04","17421.12","21335.96","20712.23"
"2022/07/28","17542.38","17592.86","17613.78","17458.92","21372.80","20747.75"
"2022/07/29","17462.60","17551.81","17573.98","17413.00","21275.60","20653.39"
"2022/08/01","17630.79","17490.82","17630.79","17449.32","21480.51","20852.32"
"2022/08/02","17307.12","17512.71","17517.05","17282.63","21086.17","20469.50"
"2022/08/03","17366.42","17317.46","17386.28","17297.14","21158.42","20539.64"
"2022/08/04","17372.68","17425.94","17428.28","17340.51","21166.04","20547.04"
"2022/08/05","17510.95","17333.78","17515.63","17333.78","21334.50","20710.57"
"2022/08/08","17549.67","17444.68","17551.51","17440.25","21381.69","20756.38"
"2022/08/09","17425.05","17547.95","17571.73","17413.76","21229.85","20608.98"
"2022/08/10","17393.37","17413.93","17427.45","17309.45","21191.25","20571.51"
"2022/08/12","17758.02","17588.33","17758.36","17574.63","21635.52","21002.79"
"2022/08/15","17894.10","17780.66","17901.95","17778.15","21801.32","21163.73"
"2022/08/16","17867.99","17864.67","17879.05","17819.48","21769.50","21132.85"
"2022/08/17","18087.79","17928.95","18087.79","17922.89","22037.31","21392.82"
"2022/08/18","17934.94","17959.85","17971.11","17883.65","21851.41","21212.31"
"2022/08/19","17959.01","18022.89","18050.38","17928.08","21880.74","21240.78"
"2022/08/22","17954.64","17826.27","17957.19","17794.07","21875.41","21235.61"
"2022/08/23","17764.96","17850.66","17851.48","17739.09","21644.32","21011.28"
"2022/08/24","17721.09","17777.02","17811.27","17696.40","21590.87","20959.39"
"2022/08/25","17809.85","17774.76","17839.53","17738.49","21699.00","21064.37"
"2022/08/26","17838.39","17870.87","17931.36","17831.27","21733.78","21098.12"
"2022/08/29","17507.30","17551.48","17565.59","17433.17","21330.39","20706.53"
"2022/08/30","17730.62","17636.10","17746.38","17605.54","21607.21","20974.55"
"2022/08/31","17679.30","17573.64","17679.30","17565.14","21545.34","20914.39"
"2022/09/01","17426.26","17525.20","17563.89","17418.46","21236.96","20615.05"
"2022/09/02","17381.70","17461.28","17468.07","17293.80","21182.66","20562.34"
"2022/09/05","17388.67","17343.46","17419.06","17305.87","21191.15","20570.58"
"2022/09/06","17378.90","17399.90","17493.52","17338.35","21179.25","20559.02"
"2022/09/07","17285.29","17328.04","17332.13","17201.18","21065.17","20448.29"
"2022/09/08","17670.41","17444.27","17670.41","17442.87","21534.50","20903.87"
"2022/09/09","17742.16","17687.61","17783.72","17674.50","21621.95","20988.76"
"2022/09/12","17868.89","17890.66","17910.55","17814.02","21776.38","21138.67"
"2022/09/13","17921.79","17877.68","17931.47","17839.90","21840.85","21201.25"
"2022/09/14","17547.62","17642.69","17652.92","17489.04","21384.86","20758.61"
