データ日付,終値,始値,高値,安値
"2021/01/04","21.23","23.78","24.65","20.32"
"2021/01/05","22.06","25.87","25.95","21.54"
"2021/01/06","21.72","22.09","22.51","21.06"
"2021/01/07","20.58","21.91","21.91","19.88"
"2021/01/08","20.70","20.04","21.31","19.90"
"2021/01/12","21.48","21.90","22.21","21.43"
"2021/01/13","20.87","21.81","21.81","20.37"
"2021/01/14","21.93","20.92","22.95","20.68"
"2021/01/15","23.04","21.80","23.45","21.76"
"2021/01/18","24.29","24.29","24.95","23.95"
"2021/01/19","23.11","23.48","23.56","22.87"
"2021/01/20","23.71","23.20","24.29","23.06"
"2021/01/21","21.56","23.06","23.06","21.52"
"2021/01/22","21.20","21.68","21.71","20.96"
"2021/01/25","20.90","21.79","21.81","20.85"
"2021/01/26","22.82","21.39","22.96","21.18"
"2021/01/27","22.31","22.04","23.31","21.85"
"2021/01/28","27.26","26.69","28.63","16.88"
"2021/01/29","28.63","25.49","29.56","24.70"
"2021/02/01","25.64","28.96","28.96","25.64"
"2021/02/02","23.66","25.12","25.38","22.96"
"2021/02/03","21.38","22.47","22.78","21.38"
"2021/02/04","22.16","21.23","22.48","20.99"
"2021/02/05","20.79","24.21","24.31","20.23"
"2021/02/08","21.34","22.44","22.55","21.34"
"2021/02/09","21.83","22.45","22.48","21.60"
"2021/02/10","22.30","22.28","22.72","21.55"
"2021/02/12","22.27","22.46","22.77","22.27"
"2021/02/15","22.39","22.28","23.07","21.84"
"2021/02/16","24.11","23.27","24.79","22.82"
"2021/02/17","23.63","24.79","24.87","23.53"
"2021/02/18","23.23","24.07","24.07","22.74"
"2021/02/19","24.42","24.14","26.20","23.61"
"2021/02/22","24.95","23.88","25.09","23.33"
"2021/02/24","26.53","25.60","26.68","24.68"
"2021/02/25","23.74","24.71","24.71","23.45"
"2021/02/26","28.30","25.68","29.99","25.68"
"2021/03/01","26.24","27.65","27.65","25.90"
"2021/03/02","24.92","25.11","25.78","23.38"
"2021/03/03","23.23","24.48","24.56","23.12"
"2021/03/04","25.91","24.90","27.80","24.90"
"2021/03/05","26.61","26.42","29.34","26.09"
"2021/03/08","26.89","27.64","27.64","24.31"
"2021/03/09","25.19","26.83","27.10","25.19"
"2021/03/10","24.91","24.32","25.25","24.32"
"2021/03/11","23.59","23.63","24.04","23.31"
"2021/03/12","22.01","22.23","23.34","22.01"
"2021/03/15","22.42","22.50","22.56","21.78"
"2021/03/16","21.60","22.20","22.20","21.29"
"2021/03/17","21.58","21.74","21.98","21.35"
"2021/03/18","20.62","21.06","21.43","20.53"
"2021/03/19","22.34","21.46","22.77","20.18"
"2021/03/22","24.39","22.81","24.64","22.81"
"2021/03/23","23.89","23.20","24.01","22.26"
"2021/03/24","25.65","23.83","25.82","23.78"
"2021/03/25","22.65","24.38","24.53","22.65"
"2021/03/26","21.43","22.36","22.65","21.43"
"2021/03/29","23.12","21.95","23.38","21.55"
"2021/03/30","21.16","22.19","22.19","21.16"
"2021/03/31","21.04","21.61","21.84","20.82"
"2021/04/01","19.76","20.42","20.78","19.72"
"2021/04/02","19.41","19.32","19.85","19.03"
"2021/04/05","18.86","19.45","20.08","18.65"
"2021/04/06","18.66","22.95","22.96","18.50"
"2021/04/07","18.19","20.63","20.79","18.08"
"2021/04/08","17.41","18.93","22.89","16.94"
"2021/04/09","17.05","16.75","17.60","16.75"
"2021/04/12","17.43","17.23","17.83","17.23"
"2021/04/13","16.52","17.25","17.25","16.29"
"2021/04/14","16.82","16.76","17.14","16.62"
"2021/04/15","17.38","17.08","17.53","16.67"
"2021/04/16","17.57","17.54","17.75","17.31"
"2021/04/19","18.30","18.33","18.76","18.10"
"2021/04/20","20.02","19.63","20.91","19.63"
"2021/04/21","22.56","22.34","23.51","21.18"
"2021/04/22","19.48","21.16","21.16","19.32"
"2021/04/23","20.00","20.26","21.12","19.85"
"2021/04/26","19.89","19.97","20.72","19.34"
"2021/04/27","19.96","20.02","20.29","19.80"
"2021/04/28","19.61","20.11","20.31","19.39"
"2021/04/30","19.83","20.29","20.86","19.80"
"2021/05/06","19.62","20.67","20.67","19.35"
"2021/05/07","18.48","19.46","19.67","18.39"
"2021/05/10","18.20","18.52","18.52","17.79"
"2021/05/11","22.70","19.20","24.16","19.18"
"2021/05/12","26.27","23.27","28.40","22.39"
"2021/05/13","28.31","28.61","30.40","26.10"
"2021/05/14","24.09","27.00","27.00","23.71"
"2021/05/17","26.20","23.28","27.30","23.10"
"2021/05/18","23.74","25.15","25.15","23.31"
"2021/05/19","25.73","25.62","27.30","22.15"
"2021/05/20","24.75","25.92","25.95","24.07"
"2021/05/21","23.05","24.30","24.30","23.01"
"2021/05/24","23.25","23.58","23.82","22.81"
"2021/05/25","21.36","22.13","22.28","21.36"
"2021/05/26","21.03","21.55","21.71","20.63"
"2021/05/27","20.34","20.97","21.89","20.31"
"2021/05/28","19.76","19.74","20.19","19.46"
"2021/05/31","20.00","20.37","20.79","19.99"
"2021/06/01","20.48","19.98","20.86","19.49"
"2021/06/02","20.34","20.52","21.15","20.18"
"2021/06/03","20.20","20.32","20.43","19.82"
"2021/06/04","20.78","20.53","21.55","20.47"
"2021/06/07","20.15","21.63","21.63","19.87"
"2021/06/08","19.76","20.88","20.88","19.74"
"2021/06/09","19.73","20.10","20.36","19.46"
"2021/06/10","19.87","19.92","20.02","19.09"
"2021/06/11","17.93","19.25","19.58","17.93"
"2021/06/14","17.29","17.44","17.61","17.05"
"2021/06/15","17.38","17.25","17.76","17.15"
"2021/06/16","18.10","17.56","18.30","17.54"
"2021/06/17","18.55","18.11","19.84","18.11"
"2021/06/18","18.40","18.20","18.43","17.67"
"2021/06/21","23.98","22.11","25.89","22.09"
"2021/06/22","20.14","20.86","21.20","19.22"
"2021/06/23","19.02","19.74","19.75","18.67"
"2021/06/24","18.39","19.48","19.49","18.14"
"2021/06/25","17.86","18.36","18.37","17.63"
"2021/06/28","17.52","18.41","18.54","17.46"
"2021/06/29","17.58","17.75","18.70","17.46"
"2021/06/30","17.00","16.99","17.25","16.61"
"2021/07/01","17.37","17.30","17.64","16.82"
"2021/07/02","16.85","17.28","17.29","16.62"
"2021/07/05","15.85","19.23","19.38","15.25"
"2021/07/06","15.92","19.96","20.19","15.20"
"2021/07/07","17.26","18.07","18.78","16.95"
"2021/07/08","18.79","17.81","19.01","17.59"
"2021/07/09","18.75","20.94","25.87","18.75"
"2021/07/12","17.63","18.00","18.47","17.26"
"2021/07/13","17.10","16.61","17.10","15.99"
"2021/07/14","17.87","17.31","17.96","17.00"
"2021/07/15","19.02","17.69","19.19","17.47"
"2021/07/16","19.63","20.09","20.82","18.05"
"2021/07/19","21.62","22.52","22.93","21.32"
"2021/07/20","22.22","23.52","23.52","21.04"
"2021/07/21","21.85","21.39","22.47","20.18"
"2021/07/26","21.69","21.64","21.98","20.46"
"2021/07/27","20.98","21.00","21.28","20.52"
"2021/07/28","23.25","22.99","23.96","21.84"
"2021/07/29","21.12","21.96","22.16","21.10"
"2021/07/30","22.93","21.40","23.59","21.40"
"2021/08/02","21.75","22.94","22.94","21.41"
"2021/08/03","21.67","22.16","22.34","21.28"
"2021/08/04","20.85","21.26","21.68","20.65"
"2021/08/05","19.92","21.40","21.40","19.72"
"2021/08/06","19.55","20.19","20.42","19.23"
"2021/08/10","19.57","19.58","19.84","18.57"
"2021/08/11","19.57","18.61","19.72","18.44"
"2021/08/12","19.65","19.16","20.17","19.11"
"2021/08/13","18.50","19.21","19.54","18.50"
"2021/08/16","20.18","19.35","21.10","19.27"
"2021/08/17","20.39","19.46","20.49","19.17"
"2021/08/18","18.96","20.17","20.53","18.87"
"2021/08/19","20.84","19.86","20.86","19.27"
"2021/08/20","21.51","21.17","22.02","20.44"
"2021/08/23","19.56","21.24","21.25","19.28"
"2021/08/24","18.78","18.95","19.00","18.43"
"2021/08/25","18.86","18.60","19.21","18.45"
"2021/08/26","18.78","18.74","19.08","18.65"
"2021/08/27","18.46","19.07","19.83","18.46"
"2021/08/30","18.02","18.38","18.66","17.82"
"2021/08/31","16.90","17.84","18.11","16.89"
"2021/09/01","17.16","16.82","17.70","16.81"
"2021/09/02","18.22","17.60","18.42","17.51"
"2021/09/03","19.29","18.23","20.88","17.77"
"2021/09/06","20.40","20.14","21.56","20.09"
"2021/09/07","20.91","21.32","21.70","20.44"
"2021/09/08","21.20","21.61","21.97","21.12"
"2021/09/09","21.58","21.58","22.12","20.98"
"2021/09/10","20.81","21.56","21.89","20.68"
"2021/09/13","20.86","21.55","21.66","20.62"
